hgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_group	gene_group_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit-trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	lncipedia	gtrnadb	agr	mane_select	gencc
HGNC:49792	ERVFRD-3	endogenous retrovirus group FRD member 3	other	endogenous retrovirus	Approved	9p21.3	09p21.3				endogenous retrovirus group FRD, member 3			2014-02-19		2015-12-16	2017-12-06	100533725	ENSG00000264801	OTTHUMG00000179358		AK091174																													HGNC:49792		
HGNC:39053	ERVH-1	endogenous retrovirus group H member 1	other	endogenous retrovirus	Approved	4p15.2	04p15.2	HERV-H4p15.2			endogenous retrovirus group H, member 1			2011-05-05		2015-12-16	2017-12-06	100616446	ENSG00000251292	OTTHUMG00000160276	uc032tej.2	"EU669866|BC015108"				"21542922|24681886"																											
HGNC:39054	ERVH-2	endogenous retrovirus group H member 2	other	endogenous retrovirus	Approved	Xp22.32	Xp22.32	HERV-HX			endogenous retrovirus group H, member 2			2011-05-05		2015-12-16	2015-12-16	100616461				"EU195218|EU195219"				"19289097|21542922"																											
HGNC:39055	ERVH-3	endogenous retrovirus group H member 3	other	endogenous retrovirus	Approved	6q12	06q12	"HERV-H/F|TCONS_l2_00025412"			endogenous retrovirus group H, member 3			2011-05-05		2015-12-16	2015-12-16	100289683				"AJ431196|BC021996"				"12482668|21542922"																											
HGNC:21344	ERVH-4	endogenous retrovirus group H member 4	other	endogenous retrovirus	Approved	14q32.2	14q32.2	HERV-HD1	clone c4.2		endogenous retrovirus group H, member 4			2011-05-05		2015-12-16	2015-12-16	51359				"U88895|U35031"				"9349478|21542922"																											
HGNC:39057	ERVH-5	endogenous retrovirus group H member 5	other	endogenous retrovirus	Approved	10p12.1	10p12.1		clone c14.6		endogenous retrovirus group H, member 5			2011-05-05		2015-12-16	2015-12-16	100862699				U35033				"9349478|21542922"																											
HGNC:39058	ERVH-6	endogenous retrovirus group H member 6	other	endogenous retrovirus	Approved	Yq11.223	Yq11.223				endogenous retrovirus group H, member 6			2011-05-05		2015-12-16	2015-12-16	51581				U88898				"9349478|21542922"																											
HGNC:39059	ERVH-7	endogenous retrovirus group H member 7	other	endogenous retrovirus	Approved	14q32.12	14q32.12	TCONS_00022381			endogenous retrovirus group H, member 7			2011-05-05		2015-12-16	2015-12-16	100862698				"BC039675|T67812"				"9349478|21542922"																											
HGNC:53421	ERVH-8	endogenous retrovirus group H member 8, envelope	other	endogenous retrovirus	Approved	2q24.3	02q24.3	envH1				Envelope ERV derived genes	1412	2017-03-30			2017-03-30					AJ289709				12970426																											
HGNC:53422	ERVH-9	endogenous retrovirus group H member 9, envelope	other	endogenous retrovirus	Approved	3q26.1	03q26.1	envH2				Envelope ERV derived genes	1412	2017-03-30			2017-03-30					AJ289710				"11162811|12970426"																											
HGNC:53423	ERVH-10	endogenous retrovirus group H member 10, envelope	other	endogenous retrovirus	Approved	2q24.1	02q24.1	"envH3|envH/p59"				Envelope ERV derived genes	1412	2017-03-30			2017-03-30					AJ289711				"11162811|12970426"																											
HGNC:17216	ERVH48-1	endogenous retrovirus group 48 member 1, envelope	other	endogenous retrovirus	Approved	21q22.3	21q22.3	SUPYN	suppressyn	"C21orf105|NDUFV3-AS1"	"chromosome 21 open reading frame 105|NDUFV3 antisense RNA 1 (non-protein coding)|endogenous retrovirus group 48, member 1|endogenous retrovirus group 48 member 1"	Envelope ERV derived genes	1412	2003-10-01	2011-05-05	2022-11-02	2023-01-20	90625	ENSG00000233056	OTTHUMG00000086835	uc002zco.4	"BC005107|CR591419"	NM_001308491	CCDS93101	M5A8F1	"21542922|23492904"																									HGNC:17216	"ENST00000447535.2|NM_001308491.2"	
HGNC:39052	ERVI-1	endogenous retrovirus group I member 1	other	endogenous retrovirus	Approved	9q22.1	09q22.1				endogenous retrovirus group I, member 1			2011-05-05		2015-12-16	2015-12-16	100131068				"AK124340|AK124077"				21542922																											
HGNC:39000	ERVK-1	endogenous retrovirus group K member 1	other	endogenous retrovirus	Approved	1p31.1	01p31.1	c1_A			endogenous retrovirus group K, member 1			2011-05-05		2015-12-16	2015-12-16	100862690				"FN806826|BQ304053"				"18664271|15476554|21542922"																											
HGNC:39001	ERVK-2	endogenous retrovirus group K member 2	other	endogenous retrovirus	Approved	3p25.3	03p25.3	c3_A			endogenous retrovirus group K, member 2			2011-05-05		2015-12-16	2015-12-16	100616100				"DQ112099|FN806829|EF153331"				"18664271|21542922"																											
HGNC:39002	ERVK-3	endogenous retrovirus group K member 3	other	endogenous retrovirus	Approved	3q13.2	03q13.2	c3_B			endogenous retrovirus group K, member 3			2011-05-05		2015-12-16	2015-12-16	100862689				FN806830				"18664271|21542922"																											
HGNC:13756	ERVK-4	endogenous retrovirus group K member 4	other	endogenous retrovirus	Approved	3q21.2	03q21.2	HERV-K(I)		ERVK4	"endogenous retroviral sequence K (G1), 4|endogenous retrovirus group K, member 4"			2000-10-31	2011-05-05	2015-12-16	2015-12-16	60359				AB047209				"11401426|21542922"					614011																						
HGNC:13757	ERVK-5	endogenous retrovirus group K member 5	other	endogenous retrovirus	Approved	3q12.3	03q12.3	HERV-K(II)		ERVK5	"endogenous retroviral sequence K (G2), 5|endogenous retrovirus group K, member 5"			2000-10-31	2011-05-05	2015-12-16	2015-12-16	60358				AB047240			"P61583|Q9HDB8|Q9HDB9"	"11401426|21542922"					614012																						
HGNC:13915	ERVK-6	endogenous retrovirus group K member 6, envelope	other	endogenous retrovirus	Approved	7p22	07p22	"HERV-K(HML-2.HOM)|HERV-K108|HERV-K(C7)|envK2"	"HERV-K (HML-2.HOM)|HERV-K108 envelope protein|HERV-K(C7) envelope protein|HERV-K_7p22.1 provirus ancestral Env polyprotein|HERV-K_7p22.1 provirus ancestral Pol protein|HERV-K_7p22.1 provirus Rec protein|HERV-K_7p22.1 provirus ancestral Pro protein"	ERVK6	"endogenous retroviral sequence K, 6|endogenous retrovirus group K, member 6|endogenous retrovirus group K member 6"	Envelope ERV derived genes	1412	2000-11-29	2011-05-05	2017-03-30	2023-03-01	64006				AF074086			"Q69383|Q69384|Q7LDI9|Q9BXR3|Q9Y6I0"	"10080172|11401447|21542922"					605626																						
HGNC:31828	ERVK-7	endogenous retrovirus group K member 7	other	endogenous retrovirus	Approved	1q22	01q22	"HERV-K(III)|HERV-K102"	"HERV-K_1q22 provirus ancestral Gag polyprotein|HERV-K_1q22 provirus ancestral Env polyprotein|HERV-K_1q22 provirus Np9 protein|HERV-K_1q22 provirus ancestral Pol protein|HERV-K_1q22 provirus ancestral Pro protein"	ERVK7	"endogenous retroviral sequence K, 7 (type 2)|endogenous retrovirus group K, member 7"			2004-10-07	2011-05-05	2015-12-16	2015-12-16	449619				BC092439			"P61567|P61582|P63130|P63131|P63135"	"10469592|11401426|21542922"					614013																						
HGNC:32302	ERVK-8	endogenous retrovirus group K member 8, envelope	other	endogenous retrovirus	Approved	8p23.1	08p23.1	"HERV-K115|envK6"	"HERV-K_8p23.1 provirus ancestral Env polyprotein|HERV-K_8p23.1 provirus ancestral Gag polyprotein|HERV-K_8p23.1 provirus ancestral Pol protein|HERV-K_8p23.1 provirus Rec protein|HERV-K_8p23.1 provirus ancestral Pro protein"	ERVK8	"endogenous retroviral sequence K, 8|Endogenous retrovirus group K, member 8|endogenous retrovirus group K, member 8|endogenous retrovirus group K member 8"	Envelope ERV derived genes	1412	2005-10-06	2011-05-05	2017-03-30	2017-03-30	619465				"FN806840|AY037929"			"P61575|P62685|P63122|P63133|Q902F8"	"17077319|21542922"																											
HGNC:39005	ERVK-9	endogenous retrovirus group K member 9	other	endogenous retrovirus	Approved	6q14.1	06q14.1		"HERV-K_6q14.1 provirus ancestral Env polyprotein|HERV-K_6q14.1 provirus ancestral Gag polyprotein|HERV-K_6q14.1 provirus ancestral Gag-Pol polyprotein|HERV-K_6q14.1 provirus ancestral Pro protein"		endogenous retrovirus group K, member 9			2011-05-05		2015-12-16	2015-12-16	100616102				"FN806836|AF080234|AY371030"			"P61573|P63126|P63127|P63128|Q9UKH3"	"9971820|18664271|21542922"																											
HGNC:39004	ERVK-10	endogenous retrovirus group K member 10	other	endogenous retrovirus	Approved	5q33.3	05q33.3		"HERV-K_5q33.3 provirus ancestral Gag polyprotein|HERV-K_5q33.3 provirus Np9 protein|HERV-K_5q33.3 provirus ancestral Pol protein|HERV-K_5q33.3 provirus ancestral Pro protein"		endogenous retrovirus group K, member 10			2011-05-05		2015-12-16	2015-12-16	100616101				"FN806835|CF227253|CN345079|AF164613"			"P10265|P10266|P61580|P87889"	"18664271|15476554|21542922"																											
HGNC:39006	ERVK-11	endogenous retrovirus group K member 11	other	endogenous retrovirus	Approved	3q27.2	03q27.2	"c3_E|N8.4"	HERV-K_3q27.3 provirus ancestral Pol protein		endogenous retrovirus group K, member 11			2011-05-05		2015-12-16	2015-12-16	100862688				"FN806833|EF153348|AF080229|U87590"			Q9UQG0	"18664271|9971820|21542922"																											
HGNC:39007	ERVK-12	endogenous retrovirus group K member 12	other	endogenous retrovirus	Approved	4q32.3	04q32.3				endogenous retrovirus group K, member 12			2011-05-05		2015-12-16	2015-12-16	100616442				"FN806834|EF153341|DQ112093"				"18664271|21542922"																											
HGNC:39008	ERVK-13	endogenous retrovirus group K member 13	other	endogenous retrovirus	Approved	3q24	03q24	c3_D			endogenous retrovirus group K, member 13			2011-05-05		2015-12-16	2015-12-16	100861467				FN806832				"18664271|21542922"																											
HGNC:39019	ERVK-14	endogenous retrovirus group K member 14	other	endogenous retrovirus	Approved	7q22.1	07q22.1	c7_B			endogenous retrovirus group K, member 14			2011-05-05		2015-12-16	2015-12-16	100862687				FN806838				"18664271|21542922"																											
HGNC:39022	ERVK-15	endogenous retrovirus group K member 15	other	endogenous retrovirus	Approved	7q34	07q34	"c7_C|P1.10"			endogenous retrovirus group K, member 15			2011-05-05		2015-12-16	2015-12-16	100616443				"FN806839|U87594"				"18664271|21542922"																											
HGNC:39023	ERVK-16	endogenous retrovirus group K member 16	other	endogenous retrovirus	Approved	10p14	10p14	"c10_A.|M3.8"	HERV-K_10p14 provirus Rec protein		endogenous retrovirus group K, member 16			2011-05-05		2015-12-16	2015-12-16	100616411				"FN806841|EF543114|U87587|DQ112100"			P61578	21542922																											
HGNC:39024	ERVK-17	endogenous retrovirus group K member 17	other	endogenous retrovirus	Approved	10q24.2	10q24.2	c10_B			endogenous retrovirus group K, member 17			2011-05-05		2015-12-16	2020-09-03	100862686				FN806842				"18664271|21542922"																											
HGNC:39025	ERVK-18	endogenous retrovirus group K member 18	other	endogenous retrovirus	Approved	1q23.3	01q23.3	"c1_C|HERV-K18"	"HERV-K_1q23.3 provirus ancestral Env polyprotein|endogenous retrovirus K-18|IDDMK1,2-22|HERV-K_1q23.3 provirus ancestral Pol protein|HERV-K_1q23.3 provirus ancestral Pro protein"		endogenous retrovirus group K, member 18			2011-05-05		2015-12-16	2015-12-16	100775105				"FN806828|AF012336"			"O42043|P63123|Q9QC07"	"18664271|10516026|21542922"																											
HGNC:39026	ERVK-19	endogenous retrovirus group K member 19, envelope	other	endogenous retrovirus	Approved	19q11	19q11	"P1.8|HERV-K(C19)|envK3"	"HERV-K_19q11 provirus ancestral Env polyprotein|HERV-K_19q11 provirus ancestral Pol protein|HERV-K_19q11 provirus ancestral Gag polyprotein|HERV-K_19q12 provirus ancestral Pro protein"		"endogenous retrovirus group K, member 19|endogenous retrovirus group K member 19"	Envelope ERV derived genes	1412	2011-05-05		2017-03-30	2017-03-30	105376906				"U87593|AY395519"			"O71037|P61572|P63120|Q9WJR5|Q9YNA8"	"9460924|10516026|12970426|21542922"																											
HGNC:39031	ERVK-20	endogenous retrovirus group K member 20	other	endogenous retrovirus	Approved	11q23.3	11q23.3	c11_B			endogenous retrovirus group K, member 20			2011-05-05		2015-12-16	2015-12-16	100616444				"FN806844|DQ112095"				"18664271|21542922"																											
HGNC:39035	ERVK-21	endogenous retrovirus group K member 21, envelope	other	endogenous retrovirus	Approved	12q14.1	12q14.1	"c12_A|envK1"	"HERV-K_12q14.1 provirus ancestral Env polyprotein|HERV-K_12q14.1 provirus ancestral Gag polyprotein|HERV-K_12q14.1 provirus ancestral Pro protein|HERV-K_12q14.1 provirus Rec protein"		"endogenous retrovirus group K, member 21|endogenous retrovirus group K member 21"	Envelope ERV derived genes	1412	2011-05-05		2017-03-30	2017-03-30	100616103				"FN806845|U32496"			"P61565|P61571|P62683|P63119"	"18664271|12970426|21542922"																											
HGNC:39036	ERVK-22	endogenous retrovirus group K member 22	other	endogenous retrovirus	Approved	19p13.3	19p13.3	c19_A			endogenous retrovirus group K, member 22			2011-05-05		2015-12-16	2015-12-16	100616445				"FN806846|EF153351"				"18664271|21542922"																											
HGNC:39037	ERVK-23	endogenous retrovirus group K member 23	other	endogenous retrovirus	Approved	21q21.1	21q21.1	c21_A			endogenous retrovirus group K, member 23			2011-05-05		2015-12-16	2015-12-16	100616197				"FN806847|EF543113"				"18664271|21542922"																											
HGNC:39038	ERVK-24	endogenous retrovirus group K member 24	other	endogenous retrovirus	Approved	22q11.21	22q11.21	"c22_A|HERV-K101"	"HERV-K_22q11.21 provirus ancestral Env polyprotein|HERV-K_22q11.21 provirus ancestral Gag polyprotein|HERV-K_22q11.21 provirus Np9 protein|HERV-K_22q11.21 provirus ancestral Pro protein"		endogenous retrovirus group K, member 24			2011-05-05		2015-12-16	2015-12-16	100862684				"FN806848|AU124350"			"P61566|P61581|P63129|P63145"	"10469592|18664271|21542922"																											
HGNC:39039	ERVK-25	endogenous retrovirus group K member 25	other	endogenous retrovirus	Approved	11q22.1	11q22.1	c11_A	"HERV-K_11q22.1 provirus ancestral Env polyprotein|HERV-K_11q22.1 provirus ancestral Pol protein|HERV-K_11q22.1 provirus Rec protein|HERV-K_11q22.1 provirus ancestral Pro protein"		endogenous retrovirus group K, member 25			2011-05-05		2015-12-16	2015-12-16	100862683				"FN806843|CF227268|AW818206"			"P61570|P61579|P63125|P63136"	"18664271|21542922"																											
HGNC:44979	ERVK-26	endogenous retrovirus group K member 26	other	endogenous retrovirus	Approved	8p23.1	08p23.1				endogenous retrovirus group K, member 26			2014-01-03		2015-12-16	2015-12-16	103539957				JZ164910				23338945																											
HGNC:44980	ERVK-27	endogenous retrovirus group K member 27	other	endogenous retrovirus	Approved	11q12.3	11q12.3				endogenous retrovirus group K, member 27			2014-01-03		2015-12-16	2015-12-16	106144566				JZ164909				23338945																											
HGNC:44981	ERVK-28	endogenous retrovirus group K member 28	other	endogenous retrovirus	Approved	19q11	19q11				endogenous retrovirus group K, member 28			2014-01-03		2015-12-16	2015-12-16	106707175	ENSG00000267696	OTTHUMG00000180737		JZ164911				23338945																											
HGNC:44982	ERVK-29	endogenous retrovirus group K member 29	other	endogenous retrovirus	Approved	19q13.12	19q13.12				endogenous retrovirus group K, member 29			2014-01-03		2015-12-16	2015-12-16	106144555				JZ164912				23338945																											
HGNC:51378	ERVK-30	endogenous retrovirus group K member 30	other	endogenous retrovirus	Approved	2q32.1	02q32.1				endogenous retrovirus group K, member 30			2015-05-14		2015-12-16	2015-12-16	106144591				LN624403				25750667																											
HGNC:51379	ERVK-31	endogenous retrovirus group K member 31	other	endogenous retrovirus	Approved	5q15	05q15				endogenous retrovirus group K, member 31			2015-05-14		2015-12-16	2015-12-16	106144590				LN624404				25750667																											
HGNC:53424	ERVK-32	endogenous retrovirus group K member 32, envelope	other	endogenous retrovirus	Approved	6q14.1	06q14.1	"envK4|HERV-K109"				Envelope ERV derived genes	1412	2017-03-30		2017-03-30	2017-03-30	110006328				AF164615				12970426																											
HGNC:30466	ERVK3-1	endogenous retrovirus group K3 member 1	other	endogenous retrovirus	Approved	19q13.43	19q13.43	HERV-K(HML6-1)			endogenous retrovirus group K3, member 1			2011-05-05		2015-12-16	2023-01-20	105372481	ENSG00000142396	OTTHUMG00000150367	uc061drc.2	"AK054868|BC010118|BC011670"		CCDS92702		"15533715|21542922"																									HGNC:30466	"ENST00000413518.6|NM_001396080.1"	
HGNC:39040	ERVK3-2	endogenous retrovirus group K3 member 2	other	endogenous retrovirus	Approved	14q24.2	14q24.2	HML6-c14			endogenous retrovirus group K3, member 2			2011-05-05		2015-12-16	2015-12-16	100862697				"AK027828|AK096726|CR591084"				"15533715|21542922"																											
HGNC:39108	ERVK3-3	endogenous retrovirus group K3 member 3	other	endogenous retrovirus	Approved	5q13.2	05q13.2	HML6-c5			endogenous retrovirus group K3, member 3			2011-05-05		2015-12-16	2015-12-16	100616462				FR714893				"18077721|21542922"																											
HGNC:39109	ERVK3-4	endogenous retrovirus group K3 member 4	other	endogenous retrovirus	Approved	11p15.4	11p15.4	HML6-c11			endogenous retrovirus group K3, member 4			2011-05-05		2015-12-16	2015-12-16	100616106				FR714894				"18077721|21542922"																											
HGNC:39110	ERVK3-5	endogenous retrovirus group K3 member 5	other	endogenous retrovirus	Approved	12q24.12	12q24.12	HML6-c12			endogenous retrovirus group K3, member 5			2011-05-05		2015-12-16	2015-12-16	100616412				FR714895				"18077721|21542922"																											
HGNC:39111	ERVK3-6	endogenous retrovirus group K3 member 6	other	endogenous retrovirus	Approved	19q13.41	19q13.41	HML6-c19A			endogenous retrovirus group K3, member 6			2011-05-05		2015-12-16	2015-12-16	100616107				FR714896				"18077721|21542922"																											
HGNC:39112	ERVK3-7	endogenous retrovirus group K3 member 7	other	endogenous retrovirus	Approved	19p13.2	19p13.2	HML6-c19B			endogenous retrovirus group K3, member 7			2011-05-05		2015-12-16	2015-12-16	100616199				FR714897				"18077721|21542922"																											
HGNC:39113	ERVK3-8	endogenous retrovirus group K3 member 8	other	endogenous retrovirus	Approved	20p11.21	20p11.21				endogenous retrovirus group K3, member 8			2011-05-05		2015-12-16	2015-12-16	100616108				FR714898				"18077721|21542922"																											
HGNC:50898	ERVK9-1	endogenous retrovirus group K9, member 1	other	endogenous retrovirus	Approved	1q21.2	01q21.2		HERV-K(HML-3) K102B					2017-08-03			2017-08-03	111188150				LM994684				25886562																											
HGNC:50908	ERVK9-2	endogenous retrovirus group K9, member 2	other	endogenous retrovirus	Approved	2p24.1	02p24.1		HERV-K(HML-3) K22C					2017-08-03			2017-08-03	111188149				LM994685				25886562																											
HGNC:50909	ERVK9-3	endogenous retrovirus group K9, member 3	other	endogenous retrovirus	Approved	3q27.2	03q27.2		HERV-K(HML-3) K26C					2017-08-03			2017-08-03	111188148				LM994687				25886562																											
HGNC:50910	ERVK9-4	endogenous retrovirus group K9, member 4	other	endogenous retrovirus	Approved	5p13.2	05p13.2		HERV-K(HML-3) K83B					2017-08-03			2017-08-03	111188143				LM994688				25886562																											
HGNC:51154	ERVK9-5	endogenous retrovirus group K9, member 5	other	endogenous retrovirus	Approved	5p15.33	05p15.33		HERV-K(HML-3) K104B					2017-08-03			2017-08-03	111188147				LM994689				25886562																											
HGNC:51155	ERVK9-6	endogenous retrovirus group K9, member 6	other	endogenous retrovirus	Approved	6q21	06q21		HERV-K(HML-3) K58B					2017-08-03			2017-08-03	111188146				LM994690				25886562																											
HGNC:51156	ERVK9-7	endogenous retrovirus group K9, member 7	other	endogenous retrovirus	Approved	7p14.2	07p14.2		HERV-K(HML-3) K103B					2017-08-03			2017-08-03	111188142				LM994691				25886562																											
HGNC:51157	ERVK9-8	endogenous retrovirus group K9, member 8	other	endogenous retrovirus	Approved	8q11.23	08q11.23		HERV-K(HML-3) K49B					2017-08-03			2017-08-03	111188145				LM994692				25886562																											
HGNC:51158	ERVK9-9	endogenous retrovirus group K9, member 9	other	endogenous retrovirus	Approved	17p13.2	17p13.2	TCONS_00025543	HERV-K(HML-3) K18B					2017-08-03			2017-08-03	111188137				LM994693				25886562																											
HGNC:51159	ERVK9-10	endogenous retrovirus group K9, member 10	other	endogenous retrovirus	Approved	17q21.32	17q21.32		HERV-K(HML-3) K114B					2017-08-03			2017-08-03	111188144				LM994694				25886562																											
HGNC:51160	ERVK9-11	endogenous retrovirus group K9, member 11	other	endogenous retrovirus	Approved	19q13.2	19q13.2		HERV-K(HML-3) K79B					2017-08-03			2017-08-03	111188141	ENSG00000269486	OTTHUMG00000182717		LM994695				25886562																											
HGNC:53627	ERVK9-12	endogenous retrovirus group K9, member 12	other	endogenous retrovirus	Approved	6p22.1	06p22.1							2017-08-03			2018-08-03	105375011				BQ446675																													HGNC:53627		
HGNC:43647	ERVK11-1	endogenous retrovirus group K11 member 1	other	endogenous retrovirus	Approved	1p13.3	01p13.3		HERV-K_1p13.3 provirus ancestral Env polyprotein		endogenous retrovirus group K11, member 1			2011-12-15		2015-12-16	2015-12-16	100859922				"AK126628|AK128832"			P61568																												
HGNC:27548	ERVK13-1	endogenous retrovirus group K13 member 1	other	endogenous retrovirus	Approved	16p13.3	16p13.3		HERV-K_16p3.3 provirus ancestral Env polyprotein		endogenous retrovirus group K13, member 1			2011-10-25		2015-12-16	2020-01-06	100507321	ENSG00000260565				NR_040023		Q9NX77		MGI:3648791																								HGNC:27548		
HGNC:27919	ERVMER61-1	endogenous retrovirus group MER61 member 1	other	endogenous retrovirus	Approved	1q31.1	01q31.1	TP53LC07		C1orf99	"chromosome 1 open reading frame 99|endogenous retrovirus group MER61, member 1"			2005-05-31	2011-05-05	2015-12-16	2023-03-15	339476		OTTHUMG00000035624	uc001gsd.4	BC040856				"21542922|35609991"																											
HGNC:39042	ERVPABLB-1	endogenous retrovirus group PABLB member 1, envelope	other	endogenous retrovirus	Approved	3p24.3	03p24.3	envR(b)	HERV-R(b)_3p24.3 provirus ancestral Env polyprotein		"endogenous retrovirus group PABLB, member 1|endogenous retrovirus group PABLB member 1"	Envelope ERV derived genes	1412	2011-05-05		2017-03-30	2017-03-30	100862693				"BQ012865|CF529244|AI189490"			P60509	"12970426|21542922"																											
HGNC:41525	ERVS71-1	endogenous retrovirus group S71 member 1, envelope	other	endogenous retrovirus	Approved	19p12	19p12	envT	"HERV-T_19 provirus ancestral Env polyprotein|HERV-T Env protein"		"endogenous retrovirus group S71, member 1|endogenous retrovirus group S71 member 1"	Envelope ERV derived genes	1412	2011-05-05		2017-03-30	2020-01-22	105372315				"CN288807|BQ932595|BQ941761"			P61550	"16150157|12970426|21542922"																											
HGNC:41526	ERVS71-2	endogenous retrovirus group S71 member 2	other	endogenous retrovirus	Approved	10p11.1	10p11.1	HERV-HC2			endogenous retrovirus group S71, member 2			2011-05-05		2015-12-16	2015-12-16	100616200				"AB167270|AB167277"				"17277898|21542922"																											
HGNC:37653	ERVW-2	endogenous retrovirus group W member 2	other	endogenous retrovirus	Approved	Xq22.3	Xq22.3	NTrenv		ERVWE2	"endogenous retroviral family W, env, member 2|endogenous retrovirus group W, member 2"			2009-12-16	2011-05-05	2015-12-16	2015-12-16	100379323				"AF331500|FN689795"				"19368703|21542922"																											
HGNC:39041	ERVW-3	endogenous retrovirus group W member 3	other	endogenous retrovirus	Approved	3q23	03q23	CL4			endogenous retrovirus group W, member 3			2011-05-05		2015-12-16	2015-12-16	100862696				AF127227				"10405350|21542922"																											
HGNC:39043	ERVW-4	endogenous retrovirus group W member 4	other	endogenous retrovirus	Approved	15q21.3	15q21.3	C187-23			endogenous retrovirus group W, member 4			2011-05-05		2015-12-16	2015-12-16	100616496				"AF123882|EF539878"				"19368703|10405350|20005155|21542922"																											
HGNC:39044	ERVW-5	endogenous retrovirus group W member 5	other	endogenous retrovirus	Approved	3q26.32	03q26.32	CL2			endogenous retrovirus group W, member 5			2011-05-05		2015-12-16	2015-12-16	100862695				AF123881				"10405350|21542922"																											
HGNC:39045	ERVW-6	endogenous retrovirus group W member 6	other	endogenous retrovirus	Approved	11q14.1	11q14.1				endogenous retrovirus group W, member 6			2011-05-05		2015-12-16	2015-12-16	100616198				"AK022306|AB063619"				"17559415|21542922"																											
HGNC:49246	ERVW-7	endogenous retrovirus group W member 7	other	endogenous retrovirus	Approved	1p33	01p33				endogenous retrovirus group W, member 7			2013-10-21		2015-12-16	2015-12-16	106144589				HG421043																															
