HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:40648	ADIPOQ-AS1	ADIPOQ antisense RNA 1	Approved	RNA, long non-coding			3q27.3	100874095	ENSG00000226482	OTTHUMG00000156514	1987	Antisense RNAs
HGNC:45127	ADIRF-AS1	ADIRF antisense RNA 1	Approved	RNA, long non-coding			10q23.2	100133190	ENSG00000272734	OTTHUMG00000185998	1987	Antisense RNAs
HGNC:51227	ADNP-AS1	ADNP antisense RNA 1	Approved	RNA, long non-coding			20q13.13	101927631	ENSG00000259456	OTTHUMG00000172534	1987	Antisense RNAs
HGNC:37122	ADORA2A-AS1	ADORA2A antisense RNA 1	Approved	RNA, long non-coding	C22orf45	FLJ34651, hLinfRNA1	22q11.23	646023	ENSG00000178803	OTTHUMG00000150735	1987	Antisense RNAs
HGNC:44144	ADPGK-AS1	ADPGK antisense RNA 1	Approved	RNA, long non-coding			15q24.1	100287559	ENSG00000260898	OTTHUMG00000173100	1987	Antisense RNAs
HGNC:28141	AFAP1-AS1	AFAP1 antisense RNA 1	Approved	RNA, long non-coding	AFAP1AS, AFAP1-AS	MGC10981	4p16.1	84740	ENSG00000272620	OTTHUMG00000186238	1987	Antisense RNAs
HGNC:53447	AFF1-AS1	AFF1 antisense RNA 1	Approved	RNA, long non-coding			4q21.3	100506746			1987	Antisense RNAs
HGNC:48633	AGAP2-AS1	AGAP2 antisense RNA 1	Approved	RNA, long non-coding		LOC100130776, PUNISHER	12q14.1	100130776	ENSG00000255737	OTTHUMG00000170286	1987	Antisense RNAs
HGNC:48617	AGBL1-AS1	AGBL1 antisense RNA 1	Approved	RNA, long non-coding			15q25.3	727915	ENSG00000260125	OTTHUMG00000172872	1987	Antisense RNAs
HGNC:41123	AGBL4-AS1	AGBL4 antisense RNA 1	Approved	RNA, long non-coding			1p33	101929721	ENSG00000230114	OTTHUMG00000008156	1987	Antisense RNAs
HGNC:41133	AGBL5-AS1	AGBL5 antisense RNA 1	Approved	RNA, long non-coding			2p23.3	100874031	ENSG00000231636	OTTHUMG00000151996	1987	Antisense RNAs
HGNC:55975	AKAP13-AS1	AKAP13 antisense RNA 1	Approved	RNA, long non-coding			15q25.3	123466214	ENSG00000259367		1987	Antisense RNAs
HGNC:27515	ALDH1A2-AS1	ALDH1A2 antisense RNA 1	Approved	RNA, long non-coding			15q21.3	283665	ENSG00000259285		1987	Antisense RNAs
HGNC:55416	ALDH1A3-AS1	ALDH1A3 antisense RNA 1	Approved	RNA, long non-coding			15q26.3	101927751	ENSG00000259583		1987	Antisense RNAs
HGNC:40244	ALDH1L1-AS1	ALDH1L1 antisense RNA 1	Approved	RNA, long non-coding			3q21.3	100874204	ENSG00000250218	OTTHUMG00000162640	1987	Antisense RNAs
HGNC:42446	ALDH1L1-AS2	ALDH1L1 antisense RNA 2	Approved	RNA, long non-coding			3q21.3	100862662	ENSG00000246022	OTTHUMG00000162642	1987	Antisense RNAs
HGNC:56941	ALDOC-AS1	ALDOC antisense RNA 1	Approved	RNA, long non-coding			17q11.2	132591089	ENSG00000265168		1987	Antisense RNAs
HGNC:41277	ALG13-AS1	ALG13 antisense RNA 1	Approved	RNA, long non-coding			Xq23	106478971	ENSG00000229487	OTTHUMG00000067670	1987	Antisense RNAs
HGNC:41192	ALG14-AS1	ALG14 antisense RNA 1	Approved	RNA, long non-coding			1p21.3	101928098	ENSG00000230427	OTTHUMG00000010779	1987	Antisense RNAs
HGNC:48670	ALKBH3-AS1	ALKBH3 antisense RNA 1	Approved	RNA, long non-coding			11p11.2	100507300	ENSG00000244926	OTTHUMG00000166553	1987	Antisense RNAs
HGNC:51342	ALOX12-AS1	ALOX12 antisense RNA 1	Approved	RNA, long non-coding			17p13.1	100506713	ENSG00000215067	OTTHUMG00000132903	1987	Antisense RNAs
HGNC:40076	ANK2-AS1	ANK2 antisense RNA 1	Approved	RNA, long non-coding			4q25	105377373	ENSG00000248152	OTTHUMG00000161562	1987	Antisense RNAs
HGNC:41298	ANKRD33B-AS1	ANKRD33B antisense RNA 1	Approved	RNA, long non-coding			5p15.2	100874247	ENSG00000250106	OTTHUMG00000162124	1987	Antisense RNAs
HGNC:48618	ANKRD34C-AS1	ANKRD34C antisense RNA 1	Approved	RNA, long non-coding			15q25.1	729911	ENSG00000259234	OTTHUMG00000172071	1987	Antisense RNAs
HGNC:41090	ANKRD44-AS1	ANKRD44 antisense RNA 1	Approved	RNA, long non-coding			2q33.1	101927596	ENSG00000231621	OTTHUMG00000154428	1987	Antisense RNAs
HGNC:55844	ANKRD65-AS1	ANKRD65 antisense RNA 1	Approved	RNA, long non-coding			1p36.33	105378585	ENSG00000225905		1987	Antisense RNAs
HGNC:40016	ANO1-AS1	ANO1 antisense RNA 1	Approved	RNA, long non-coding			11q13.3	100873981	ENSG00000254902	OTTHUMG00000167205	1987	Antisense RNAs
HGNC:54190	ANO3-AS1	ANO3 antisense RNA 1	Approved	RNA, long non-coding			11p14.2	105376599	ENSG00000254819		1987	Antisense RNAs
HGNC:27208	ANXA2R-AS1	ANXA2R antisense RNA 1	Approved	RNA, long non-coding			5p12	153684	ENSG00000215068	OTTHUMG00000131146	1987	Antisense RNAs
HGNC:55442	AP1G2-AS1	AP1G2 antisense RNA 1	Approved	RNA, long non-coding			14q11.2	102724814	ENSG00000258727		1987	Antisense RNAs
HGNC:44114	AP4B1-AS1	AP4B1 antisense RNA 1	Approved	RNA, long non-coding			1p13.2	100287722	ENSG00000226167	OTTHUMG00000011941	1987	Antisense RNAs
HGNC:40079	APOA1-AS	APOA1 antisense RNA	Approved	RNA, long non-coding			11q23.3	104326055	ENSG00000235910	OTTHUMG00000150649	1987	Antisense RNAs
HGNC:43836	APOBEC3B-AS1	APOBEC3B antisense RNA 1	Approved	RNA, long non-coding			22q13.1	100874530	ENSG00000249310	OTTHUMG00000151083	1987	Antisense RNAs
HGNC:26399	AQP4-AS1	AQP4 antisense RNA 1	Approved	RNA, long non-coding	C18orf16, CHST9-AS1	FLJ30507	18q11.2	147429	ENSG00000260372	OTTHUMG00000131954	1987	Antisense RNAs
HGNC:55474	AQP5-AS1	AQP5 and AQP2 antisense RNA 2	Approved	RNA, long non-coding		AC025154.2, MIAC	12q13.12	101927318	ENSG00000257588		1987	Antisense RNAs
HGNC:39993	ARAP1-AS1	ARAP1 antisense RNA 1	Approved	RNA, long non-coding			11q13.4	100874075	ENSG00000256007	OTTHUMG00000167950	1987	Antisense RNAs
HGNC:39994	ARAP1-AS2	ARAP1 antisense RNA 2	Approved	RNA, long non-coding			11q13.4	100506020	ENSG00000245148	OTTHUMG00000167951	1987	Antisense RNAs
HGNC:51593	ARF4-AS1	ARF4 antisense RNA 1	Approved	RNA, long non-coding			3p14.3	106144532	ENSG00000272146	OTTHUMG00000185640	1987	Antisense RNAs
HGNC:40949	ARHGAP15-AS1	ARHGAP15 antisense RNA 1	Approved	RNA, long non-coding			2q22.3	105373654	ENSG00000231758	OTTHUMG00000153724	1987	Antisense RNAs
HGNC:40792	ARHGAP26-AS1	ARHGAP26 antisense RNA 1	Approved	RNA, long non-coding			5q31.3	100874239	ENSG00000226272	OTTHUMG00000059702	1987	Antisense RNAs
HGNC:55320	ARHGAP28-AS1	ARHGAP28 antisense RNA 1	Approved	RNA, long non-coding			18p11.31	101927168	ENSG00000266441		1987	Antisense RNAs
HGNC:54311	ARHGAP29-AS1	ARHGAP29 antisense RNA 1	Approved	RNA, long non-coding			1p22.1-p21.3	107985092	ENSG00000226835		1987	Antisense RNAs
HGNC:41235	ARHGAP31-AS1	ARHGAP31 antisense RNA 1	Approved	RNA, long non-coding			3q13.33	100874246	ENSG00000241155	OTTHUMG00000159360	1987	Antisense RNAs
HGNC:54801	ARHGAP42-AS1	ARHGAP42 antisense RNA 1	Approved	RNA, long non-coding		AK124326	11q22.1	100128386	ENSG00000248027		1987	Antisense RNAs
HGNC:55326	ARHGAP44-AS1	ARHGAP44 and MYOCD antisense RNA 1	Approved	RNA, long non-coding			17p12	100128006	ENSG00000265489		1987	Antisense RNAs
HGNC:20279	ARHGAP5-AS1	ARHGAP5 antisense RNA 1 (head to head)	Approved	RNA, long non-coding	C14orf128	MGC15504	14q12	84837	ENSG00000258655	OTTHUMG00000170588	1987	Antisense RNAs
HGNC:55485	ARHGEF17-AS1	ARHGEF17 antisense RNA 1	Approved	RNA, long non-coding			11q13.4	100287837	ENSG00000257038		1987	Antisense RNAs
HGNC:55284	ARHGEF18-AS1	ARHGEF18 antisense RNA 1	Approved	RNA, long non-coding			19p13.2	118827816	ENSG00000267852		1987	Antisense RNAs
HGNC:40082	ARHGEF2-AS1	ARHGEF2 antisense RNA 1	Approved	RNA, long non-coding			1q22	107985210	ENSG00000224276	OTTHUMG00000017459	1987	Antisense RNAs
HGNC:55175	ARHGEF2-AS2	ARHGEF2 antisense RNA 2	Approved	RNA, long non-coding			1q22	107985209	ENSG00000273002		1987	Antisense RNAs
HGNC:41048	ARHGEF26-AS1	ARHGEF26 antisense RNA 1	Approved	RNA, long non-coding			3q25.2	100507524	ENSG00000243069	OTTHUMG00000159647	1987	Antisense RNAs
HGNC:40083	ARHGEF3-AS1	ARHGEF3 antisense RNA 1	Approved	RNA, long non-coding			3p14.3	100874200	ENSG00000240198	OTTHUMG00000158863	1987	Antisense RNAs
HGNC:41292	ARHGEF35-AS1	ARHGEF35 antisense RNA 1	Approved	RNA, long non-coding			7q35	101928605	ENSG00000244198	OTTHUMG00000158007	1987	Antisense RNAs
HGNC:55716	ARHGEF4-AS1	ARHGEF4 antisense RNA 1	Approved	RNA, long non-coding			2q21.1	121853076	ENSG00000233221		1987	Antisense RNAs
HGNC:39816	ARHGEF7-AS1	ARHGEF7 antisense RNA 1	Approved	RNA, long non-coding			13q34	100874226	ENSG00000227352	OTTHUMG00000017355	1987	Antisense RNAs
HGNC:40717	ARHGEF7-AS2	ARHGEF7 antisense RNA 2	Approved	RNA, long non-coding			13q34	100874238	ENSG00000235875	OTTHUMG00000017353	1987	Antisense RNAs
HGNC:41008	ARMC2-AS1	ARMC2 antisense RNA 1	Approved	RNA, long non-coding			6q21	101929716	ENSG00000230290	OTTHUMG00000015334	1987	Antisense RNAs
HGNC:41038	ARMCX3-AS1	ARMCX3 antisense RNA 1	Approved	RNA, long non-coding			Xq22.1	100128574	ENSG00000228275	OTTHUMG00000022037	1987	Antisense RNAs
HGNC:49892	BMAL2-AS1	BMAL2 antisense RNA 1	Approved	RNA, long non-coding	ARNTL2-AS1		12p11.23	101928646	ENSG00000245311	OTTHUMG00000169258	1987	Antisense RNAs
HGNC:40785	ARPP21-AS1	ARPP21 antisense RNA 1	Approved	RNA, long non-coding			3p22.3	100874098	ENSG00000230830	OTTHUMG00000156606	1987	Antisense RNAs
HGNC:23395	ARRDC1-AS1	ARRDC1 antisense RNA 1	Approved	RNA, long non-coding	C9orf37		9q34.3	85026	ENSG00000203993	OTTHUMG00000020988	1987	Antisense RNAs
HGNC:44145	ARRDC3-AS1	ARRDC3 antisense RNA 1	Approved	RNA, long non-coding			5q14.3	100129716	ENSG00000281357	OTTHUMG00000189546	1987	Antisense RNAs
HGNC:40085	ARSD-AS1	ARSD antisense RNA 1	Approved	RNA, long non-coding			Xp22.33	100506356	ENSG00000229851	OTTHUMG00000021076	1987	Antisense RNAs
HGNC:55603	ASAH1-AS1	ASAH1 antisense RNA 1	Approved	RNA, long non-coding			8p22	101929066	ENSG00000245281		1987	Antisense RNAs
HGNC:40904	ASB15-AS1	ASB15 antisense RNA 1	Approved	RNA, long non-coding			7q31.32	102724555	ENSG00000230442	OTTHUMG00000157115	1987	Antisense RNAs
HGNC:25442	ASB16-AS1	ASB16 antisense RNA 1	Approved	RNA, long non-coding	C17orf65	DKFZp762C2414	17q21.31	339201	ENSG00000267080	OTTHUMG00000181810	1987	Antisense RNAs
HGNC:44146	ASH1L-AS1	ASH1L antisense RNA 1	Approved	RNA, long non-coding		APPLE	1q22	645676	ENSG00000235919	OTTHUMG00000014012	1987	Antisense RNAs
HGNC:40960	ASIC4-AS1	ASIC4 antisense RNA 1	Approved	RNA, long non-coding			2q35	105373885	ENSG00000227432	OTTHUMG00000133672	1987	Antisense RNAs
HGNC:25811	ASMTL-AS1	ASMTL antisense RNA 1	Approved	RNA, long non-coding	CXYorf2, NCRNA00105, ASMTLAS, ASMTL-AS	FLJ13330	Xp22.33 and Yp11.32	80161	ENSG00000236017	OTTHUMG00000021056	1987	Antisense RNAs
HGNC:51175	ASTN2-AS1	ASTN2 antisense RNA 1	Approved	RNA, long non-coding			9q33.1	100128505	ENSG00000229105	OTTHUMG00000020556	1987	Antisense RNAs
HGNC:49496	ATE1OSP	ATE1 opposite strand, pseudogene	Approved	pseudogene	ATE1-AS1	ENST00000437593	10q26.13	100130887	ENSG00000226864	OTTHUMG00000019179	1987	Antisense RNAs
HGNC:40914	ATG10-AS1	ATG10 antisense RNA 1	Approved	RNA, long non-coding			5q14.1	100874022	ENSG00000248192	OTTHUMG00000162770	1987	Antisense RNAs
HGNC:55528	ATOX1-AS1	ATOX1 antisense RNA 1	Approved	RNA, long non-coding			5q33.1	105378235	ENSG00000253921		1987	Antisense RNAs
HGNC:40645	ATP11A-AS1	ATP11A antisense RNA 1	Approved	RNA, long non-coding			13q34	100874205	ENSG00000232684	OTTHUMG00000017370	1987	Antisense RNAs
HGNC:41095	ATP13A4-AS1	ATP13A4 antisense RNA 1	Approved	RNA, long non-coding			3q29	101929198	ENSG00000225473	OTTHUMG00000156102	1987	Antisense RNAs
HGNC:41281	ATP13A5-AS1	ATP13A5 antisense RNA 1	Approved	RNA, long non-coding			3q29	100874218	ENSG00000236508	OTTHUMG00000156106	1987	Antisense RNAs
HGNC:28262	ATP1A1-AS1	ATP1A1 antisense RNA 1	Approved	RNA, long non-coding	C1orf203, ATP1A1OS	MGC16179	1p13.1	84852	ENSG00000203865	OTTHUMG00000012111	1987	Antisense RNAs
HGNC:40088	ATP1B3-AS1	ATP1B3 antisense RNA 1	Approved	RNA, long non-coding			3q23	100874077	ENSG00000244124	OTTHUMG00000159102	1987	Antisense RNAs
HGNC:51370	ATP2A1-AS1	ATP2A1 antisense RNA 1	Approved	RNA, long non-coding			16p11.2	100289092	ENSG00000260442	OTTHUMG00000176592	1987	Antisense RNAs
HGNC:27883	ATP2B1-AS1	ATP2B1 antisense RNA 1	Approved	RNA, long non-coding	LINC00936		12q21.33	338758	ENSG00000271614	OTTHUMG00000169947	1987	Antisense RNAs
HGNC:53167	ATP2C2-AS1	ATP2C2 antisense RNA 1	Approved	RNA, long non-coding		RP11-517C16.2-001, RP11-517C16.2	16q24.1	105371374	ENSG00000261286	OTTHUMG00000176738	1987	Antisense RNAs
HGNC:44180	ATP6V0E2-AS1	ATP6V0E2 antisense RNA 1	Approved	RNA, long non-coding			7q36.1	401431	ENSG00000204934	OTTHUMG00000158095	1987	Antisense RNAs
HGNC:51118	ATP6V1B1-AS1	ATP6V1B1 antisense RNA 1	Approved	RNA, long non-coding			2p13.3	101927750	ENSG00000239322	OTTHUMG00000153727	1987	Antisense RNAs
HGNC:56042	ATP8B1-AS1	ATP8B1 antisense RNA 1	Approved	RNA, long non-coding		RP11-35G9.3	18q21.31	100505549	ENSG00000267040		1987	Antisense RNAs
HGNC:40515	ATXN1-AS1	ATXN1 antisense RNA 1	Approved	RNA, long non-coding		AL137003.1	6p22.3	101928433	ENSG00000229931	OTTHUMG00000153136	1987	Antisense RNAs
HGNC:51838	ATXN2-AS	ATXN2 antisense RNA	Approved	RNA, long non-coding			12q24.12	102723619	ENSG00000258099	OTTHUMG00000169599	1987	Antisense RNAs
HGNC:55298	ATXN7L3-AS1	ATXN7L3 antisense RNA 1	Approved	RNA, long non-coding			17q21.31	101926967	ENSG00000267394		1987	Antisense RNAs
HGNC:40089	B3GALT1-AS1	B3GALT1 antisense RNA 1	Approved	RNA, long non-coding			2q24.3	105616981	ENSG00000235335	OTTHUMG00000153961	1987	Antisense RNAs
HGNC:16424	B3GALT5-AS1	B3GALT5 antisense RNA 1	Approved	RNA, long non-coding	C21orf88		21q22.2	114041	ENSG00000184809	OTTHUMG00000086722	1987	Antisense RNAs
HGNC:49910	B4GALT1-AS1	B4GALT1 antisense RNA 1	Approved	RNA, long non-coding			9p21.1	101929639	ENSG00000233554	OTTHUMG00000019763	1987	Antisense RNAs
HGNC:40090	B4GALT4-AS1	B4GALT4 antisense RNA 1	Approved	RNA, long non-coding			3q13.32	100874201	ENSG00000240254	OTTHUMG00000159385	1987	Antisense RNAs
HGNC:50461	BAALC-AS1	BAALC antisense RNA 1	Approved	RNA, long non-coding		lncFZD6, FZD6-DT	8q22.3	100499183	ENSG00000247081	OTTHUMG00000164798	1987	Antisense RNAs
HGNC:28595	BAALC-AS2	BAALC antisense RNA 2	Approved	RNA, long non-coding	C8orf56, BAALCOS	MGC39526	8q22.3	157556	ENSG00000236939	OTTHUMG00000164781	1987	Antisense RNAs
HGNC:44171	BABAM2-AS1	BABAM2 antisense RNA 1	Approved	RNA, long non-coding	BRE-AS1		2p23.2	100302650			1987	Antisense RNAs
HGNC:37125	BACE1-AS	BACE1 antisense RNA	Approved	RNA, long non-coding	BACE1AS	FJ573250, NCRNA00177, BACE1-AS1	11q23.3	100379571	ENSG00000278768	OTTHUMG00000188154	1987	Antisense RNAs
HGNC:40008	BACH1-AS1	BACH1 antisense RNA 1	Approved	RNA, long non-coding			21q21.3	106478962	ENSG00000232118	OTTHUMG00000081874	1987	Antisense RNAs
HGNC:26609	BASP1-AS1	BASP1 antisense RNA 1	Approved	RNA, long non-coding		LOC285696	5p15.1	285696	ENSG00000215196	OTTHUMG00000131059	1987	Antisense RNAs
HGNC:55440	BAZ1A-AS1	BAZ1A antisense RNA 1	Approved	RNA, long non-coding			14q13.2	112268124	ENSG00000258738		1987	Antisense RNAs
HGNC:55862	BAZ2B-AS1	BAZ2B antisense RNA 1	Approved	RNA, long non-coding		lnc-BAZ2B	2q24.2	643072	ENSG00000224152		1987	Antisense RNAs
HGNC:50700	BBOX1-AS1	BBOX1 antisense RNA 1	Approved	RNA, long non-coding			11p14.2-p14.1	103695435	ENSG00000254560	OTTHUMG00000166122	1987	Antisense RNAs
HGNC:55233	BCAN-AS1	BCAN antisense RNA 1	Approved	RNA, long non-coding		RP11-284F21.9	1q23.1	105371453	ENSG00000272068		1987	Antisense RNAs
HGNC:56267	BCAN-AS2	BCAN antisense RNA 2	Approved	RNA, long non-coding		ENST869, AL590666.2	1q23.1	126568844	ENSG00000229953		1987	Antisense RNAs
HGNC:40093	BCAR3-AS1	BCAR3 antisense RNA 1	Approved	RNA, long non-coding		TP53LC19	1p22.1	100129046	ENSG00000224093	OTTHUMG00000010302	1987	Antisense RNAs
HGNC:56376	BCAS3-AS1	BCAS3 antisense RNA 1	Approved	RNA, long non-coding		AC005884.1	17q23.2	107984992	ENSG00000267207		1987	Antisense RNAs
HGNC:44113	BCDIN3D-AS1	BCDIN3D antisense RNA 1	Approved	RNA, long non-coding			12q13.12	100286844	ENSG00000258057	OTTHUMG00000169706	1987	Antisense RNAs
HGNC:55868	BCL10-AS1	BCL10 antisense RNA 1	Approved	RNA, long non-coding			1p22.3	646626	ENSG00000223653		1987	Antisense RNAs
HGNC:40095	BCL2L1-AS1	BCL2L1 antisense RNA 1	Approved	RNA, long non-coding			20q11.21	105372589	ENSG00000236559	OTTHUMG00000032185	1987	Antisense RNAs
HGNC:51843	BCL6-AS1	BCL6 antisense RNA 1	Approved	RNA, long non-coding		lnc-RP11-211G3.3.1-1	3q27.3	122526776			1987	Antisense RNAs
HGNC:20608	BDNF-AS	BDNF antisense RNA	Approved	RNA, long non-coding	BDNFOS	BT2A, BT2B, BT2C, BT2D, NCRNA00049, BDNF-AS1, BDNFAS	11p14.1	497258	ENSG00000245573		1987	Antisense RNAs
HGNC:51114	BEAN1-AS1	BEAN1 antisense RNA 1	Approved	RNA, long non-coding			16q21	101927726	ENSG00000261656	OTTHUMG00000175781	1987	Antisense RNAs
HGNC:40690	BET1-AS1	BET1 antisense RNA 1	Approved	RNA, long non-coding			7q21.3	107986820	ENSG00000236861	OTTHUMG00000155775	1987	Antisense RNAs
HGNC:28425	BFSP2-AS1	BFSP2 antisense RNA 1	Approved	RNA, long non-coding		MGC2848	3q22.1	85003	ENSG00000249993	OTTHUMG00000159721	1987	Antisense RNAs
HGNC:56147	BHLHE22-AS1	BHLHE22 antisense RNA 1	Approved	RNA, long non-coding			8q12.3	401463	ENSG00000254102		1987	Antisense RNAs
HGNC:44471	BHLHE40-AS1	BHLHE40 antisense RNA 1	Approved	RNA, long non-coding			3p26.1	100507582	ENSG00000235831	OTTHUMG00000155242	1987	Antisense RNAs
HGNC:55475	BICD1-AS1	BICD1 antisense RNA 1	Approved	RNA, long non-coding			12p11.21	120766143	ENSG00000257530		1987	Antisense RNAs
HGNC:51588	BICRA-AS1	BICRA antisense RNA 1	Approved	RNA, long non-coding	GLTSCR1-AS1		19q13.33	106144534	ENSG00000269806	OTTHUMG00000183264	1987	Antisense RNAs
HGNC:56742	BICRA-AS2	BICRA antisense RNA 2	Approved	RNA, long non-coding		AC010331.1	19q13.33	128667229	ENSG00000277383		1987	Antisense RNAs
HGNC:40641	BIRC6-AS1	BIRC6 antisense RNA 1	Approved	RNA, long non-coding			2p22.3	100874009	ENSG00000230046	OTTHUMG00000152106	1987	Antisense RNAs
HGNC:50490	BIRC6-AS2	BIRC6 antisense RNA 2	Approved	RNA, long non-coding		megamind	2p22.3	103752586	ENSG00000279897	OTTHUMG00000189406	1987	Antisense RNAs
HGNC:53612	BMF-AS1	BMF antisense RNA 1	Approved	RNA, long non-coding			15q15.1	110806288	ENSG00000259409	OTTHUMG00000172394	1987	Antisense RNAs
